"company_name_ja","company_name_en","description","description_en","hiring_url","num_of_employees","sales","foreign_engineers","logo_url","company_url"
"メルカリ","Mercari","日本最大のフリマアプリ「メルカリ」を運営。累計出品数40億品を突破し月間2300万人以上が利用。メルペイ（決済）やメルコイン（暗号資産）などFintech事業も展開。「Go Bold」「All for One」「Be a Pro」のバリューのもと世界50カ国以上出身の多様なエンジニアが活躍。2024年にはオンデマンドワークサービス「メルカリ ハロ」をローンチ。","Operates Japan's largest flea market app ""Mercari"". Surpassed 4 billion cumulative listings with over 23 million monthly users. Also expands into Fintech with Merpay (payments) and Mercoin (cryptocurrency). Diverse engineers from over 50 countries thrive under the values of ""Go Bold,"" ""All for One,"" and ""Be a Pro."" Launched on-demand work service ""Mercari Hallo"" in 2024.","https://careers.mercari.com/","2000+","170000000000","TRUE","https://logo.clearbit.com/mercari.com","https://about.mercari.com/"
"サイバーエージェント","CyberAgent","ABEMA・ゲーム・インターネット広告の3事業を展開。AI事業本部には250名以上のエンジニアが在籍し独自の日本語LLMやVLMを継続開発・公開。2024年には開発AIエージェントに年間約4億円を投資決定しエンジニア約1200名に月額200米ドルの開発AIツール費用を支援。全エンジニアの半数がAIを駆使できる組織を目指す。","Operates three business segments: ABEMA, gaming, and internet advertising. The AI division has over 250 engineers continuously developing and releasing proprietary Japanese LLMs and VLMs. In 2024, decided to invest approximately 400 million yen annually in AI development agents and support about 1,200 engineers with $200/month for AI development tools. Aims to have half of all engineers proficient in AI.","https://hrmos.co/pages/cyberagent-group","6000+","720000000000","TRUE","https://logo.clearbit.com/cyberagent.co.jp","https://www.cyberagent.co.jp/"
"LY Corporation","LY Corporation","2023年10月にLINE・Yahoo! JAPANが統合して誕生した日本最大のインターネット企業。LINEの月間1.99億ユーザーとYahoo! JAPANの月間5430万ログインIDを擁しグループ延べ利用者数3.2億超。PayPayやZOZO等も傘下に持つ。従業員約28000人でグループ会社124社。Java/Go/PythonやKubernetes等の技術スタックで大規模サービスを支える。","Japan's largest internet company formed by the merger of LINE and Yahoo! JAPAN in October 2023. Boasts 199 million monthly LINE users and 54.3 million Yahoo! JAPAN monthly login IDs, with total group users exceeding 320 million. Subsidiaries include PayPay and ZOZO. Approximately 28,000 employees across 124 group companies. Powers large-scale services with tech stacks including Java/Go/Python and Kubernetes.","https://www.lycorp.co.jp/ja/recruit/","10000+","1800000000000","TRUE","https://logo.clearbit.com/lycorp.co.jp","https://www.lycorp.co.jp/"
"DeNA","DeNA","1999年創業のインターネット企業。モバイルゲーム・ライブ配信「Pococha」・タクシーアプリ「GO」・横浜DeNAベイスターズなど多角的に事業展開。「一人ひとりに想像を超えるDelightを」をミッションに掲げる。約100人のAIエキスパートチームが全社横断でAI活用を推進。エンジニアが「何を作るか」まで自分ゴトとして考え事業を牽引する文化が特徴。","Internet company founded in 1999. Diversified business including mobile games, live streaming platform ""Pococha,"" taxi app ""GO,"" and Yokohama DeNA BayStars baseball team. Mission: ""Deliver delight beyond imagination to each individual."" A team of about 100 AI experts drives AI adoption across the company. Characterized by a culture where engineers take ownership of ""what to build"" and lead the business.","https://dena.com/jp/recruit/","2000+","130000000000","TRUE","https://logo.clearbit.com/dena.com","https://dena.com/"
"リクルート","Recruit","世界No.1求人サイト「Indeed」やGlassdoorを傘下に持ち60以上の国と地域で「働く」につながる機会を提供するグローバルテックカンパニー。国内ではリクナビ・SUUMO・ホットペッパー・Airレジ等を展開。2024年1月に「Indeed PLUS」をリリース。エンジニアは技術とビジネスの複眼的視座で世の中の「不」を解消するプロダクト開発を担い平均年収850万円。","Global tech company owning world's #1 job site Indeed and Glassdoor, providing work opportunities in over 60 countries and regions. Operates Rikunabi, SUUMO, Hot Pepper, and Airレジ in Japan. Released ""Indeed PLUS"" in January 2024. Engineers develop products that solve societal pain points with dual perspectives of technology and business, with average annual salary of 8.5 million yen.","https://www.recruit.co.jp/employment/","18000+","3400000000000","TRUE","https://logo.clearbit.com/recruit.co.jp","https://www.recruit.co.jp/"
"GMOインターネット","GMO Internet","ドメイン・レンタルサーバーで国内大手のインターネットインフラ企業。インフラ・広告・金融・暗号資産の4事業を展開し連結売上高2774億円（2024年度）。クリエイター・エンジニア比率50.7%で60%を目標に技術力を強化中。「AIで未来を創るNo.1企業グループ」を目指しAI・ロボティクス分野にも積極投資。開発・運用・サポート・販売を一貫して自社で行う。","Major Japanese internet infrastructure company in domains and rental servers. Operates four business segments: infrastructure, advertising, finance, and cryptocurrency, with consolidated revenue of 277.4 billion yen (FY2024). Creator/engineer ratio at 50.7%, targeting 60% to strengthen technical capabilities. Aims to be ""#1 company group creating the future with AI"" with active investment in AI and robotics. Handles development, operations, support, and sales entirely in-house.","https://recruit.gmo.jp/","7000+","250000000000","TRUE","https://logo.clearbit.com/gmo.jp","https://www.gmo.jp/"
"エムスリー","M3","国内医師の9割以上が会員の医療ポータル「m3.com」を運営。電子カルテ「デジカル」や医療DXアプリ「デジスマ」など30以上のWebプロダクトを開発し100以上の医療事業を展開。2024年度売上2849億円。Ruby/TypeScript/Scala/React/AWS等の技術スタックを活用。エンジニアリンググループからIT業界にCEO/CTO/VPoEを10名以上輩出した実績を持つ。","Operates medical portal ""m3.com"" with over 90% of Japanese physicians as members. Develops over 30 web products including electronic medical records ""Digical"" and healthcare DX app ""Digisma,"" operating over 100 medical businesses. FY2024 revenue of 284.9 billion yen. Utilizes tech stack including Ruby/TypeScript/Scala/React/AWS. Has produced over 10 CEOs/CTOs/VPoEs for the IT industry from its engineering group.","https://jobs.m3.com/","1000+","230000000000","FALSE","https://logo.clearbit.com/m3.com","https://corporate.m3.com/"
"MIXI","MIXI","世界累計6200万人超が利用する「モンスターストライク」を運営。2024年で11周年を迎えるロングランタイトル。子どもの写真共有アプリ「家族アルバム みてね」やSNS「mixi」も展開。千葉ジェッツやFC東京などスポーツ事業にも進出。東洋経済「働きやすさランキング」2024年第1位。BigQuery等を活用したデータ分析基盤でゲーム運営を支える。","Operates ""Monster Strike"" with over 62 million cumulative users worldwide. A long-running title celebrating its 11th anniversary in 2024. Also offers family photo sharing app ""Mitene"" and SNS ""mixi."" Expanded into sports business including Chiba Jets and FC Tokyo. Ranked #1 in Toyo Keizai's ""Best Workplaces Ranking"" 2024. Supports game operations with data analytics infrastructure utilizing BigQuery and more.","https://mixi.co.jp/recruit/","1400+","130000000000","FALSE","https://logo.clearbit.com/mixi.co.jp","https://mixi.co.jp/"
"ZOZO","ZOZO","日本最大級のファッションEC「ZOZOTOWN」を運営。「ZOZOSUIT」「ZOZOMAT」「ZOZOGLASS」等の計測テクノロジーで70億人のファッションを技術で変革することを目指す。物流拠点「ZOZOBASE」やコーディネートアプリ「WEAR」も展開。2024年にはAI活用の超パーソナルスタイリングサービス「niaulab」を開始。千葉拠点でフルリモートワーク体制を採用。","Operates Japan's largest fashion e-commerce platform ""ZOZOTOWN."" Aims to transform fashion for 7 billion people with measurement technologies like ZOZOSUIT, ZOZOMAT, and ZOZOGLASS. Also operates logistics hub ""ZOZOBASE"" and styling app ""WEAR."" Launched AI-powered hyper-personalized styling service ""niaulab"" in 2024. Adopted full remote work system from Chiba headquarters.","https://corp.zozo.com/recruit/","1500+","180000000000","FALSE","https://logo.clearbit.com/zozo.com","https://corp.zozo.com/"
"Sakana AI","Sakana AI","Transformerの共同発明者Llion Jones氏と元Google Brain東京チームトップのDavid Ha氏が2023年に設立したAIスタートアップ。複数のAIモデルを組み合わせて新モデルを生成する「進化的モデルマージ」技術を世界で初めて開発。2024年にNVIDIA等から約2億ドルを調達し評価額11億ドル（約1700億円）のユニコーンに。AIが自ら論文を書く「AIサイエンティスト」技術も公表。","AI startup founded in 2023 by Transformer co-inventor Llion Jones and former Google Brain Tokyo team leader David Ha. First in the world to develop ""Evolutionary Model Merge"" technology that combines multiple AI models to generate new ones. Raised approximately $200 million from NVIDIA and others in 2024, reaching unicorn status with $1.1 billion valuation (approximately 170 billion yen). Also unveiled ""AI Scientist"" technology where AI writes its own papers.","https://sakana.ai/careers/","Startup","-1","TRUE","https://sakana.ai/sakana.svg","https://sakana.ai/"
"SmartHR","SmartHR","クラウド人事労務ソフト国内シェアNo.1。入退社手続き・年末調整・給与明細をペーパーレス化し従業員データを一元管理。人事評価・サーベイ・配置シミュレーション等タレントマネジメントにも拡張。NEXTユニコーン企業に2019年から継続選出。10以上のプロダクトでRuby on Railsを採用しプロダクト志向のエンジニアが活躍。","#1 market share for cloud HR software in Japan. Digitizes onboarding/offboarding, year-end tax adjustments, and pay slips while centralizing employee data. Expanded into talent management including performance reviews, surveys, and placement simulations. Continuously selected as NEXT Unicorn since 2019. Employs Ruby on Rails across 10+ products with product-oriented engineers thriving.","https://smarthr.co.jp/recruit/","1000+","-1","TRUE","https://logo.clearbit.com/smarthr.co.jp","https://smarthr.co.jp/"
"Spiber","Spiber","世界初の人工合成構造タンパク質素材「Brewed Protein」の量産化に成功した山形県鶴岡市発のバイオテックスタートアップ。植物由来バイオマスを微生物発酵で素材化し環境負荷を大幅削減。ザ・ノース・フェイス・ユナイテッドアローズ等のブランドが採用。2024年には宇多田ヒカルのツアー衣装にも素材提供。繊維・フィルム・レジンなど幅広い用途に展開。","Biotech startup from Tsuruoka, Yamagata that achieved world's first mass production of synthetic structural protein material ""Brewed Protein."" Converts plant-based biomass into materials through microbial fermentation, significantly reducing environmental impact. Adopted by brands including The North Face and United Arrows. Provided materials for Utada Hikaru's tour costumes in 2024. Expands across wide applications including fibers, films, and resins.","https://spiber.inc/ja/careers","300+","-1","TRUE","https://logo.clearbit.com/spiber.inc","https://spiber.inc/"
"Tier IV","Tier IV","名古屋大学発のディープテック企業で世界初のオープンソース自動運転ソフトウェア「Autoware」の開発を主導。「自動運転の民主化」をビジョンに掲げ2024年10月に一般道における自動運転レベル4認可を取得。三菱商事・スズキ・いすゞ自動車・日本交通など多数の企業と提携。クラウドDevOpsプラットフォーム「Web.Auto」も展開。","Deep tech company spun out from Nagoya University, leading development of world's first open-source autonomous driving software ""Autoware."" With a vision of ""democratizing autonomous driving,"" obtained Level 4 autonomous driving certification for public roads in October 2024. Partners with numerous companies including Mitsubishi Corporation, Suzuki, Isuzu Motors, and Nihon Kotsu. Also operates cloud DevOps platform ""Web.Auto.""","https://careers.tier4.jp/","300+","-1","TRUE","https://logo.clearbit.com/tier4.jp","https://tier4.jp/"
"Opn","Opn","2013年設立のアジア地域特化フィンテック企業。オンライン決済「Omise」を50種類の決済手段で提供しPCI-DSS準拠の高セキュリティを実現。2024年にAI技術を活用したインテリジェント・ルーティングやジェネレーティブ・ダッシュボードを導入し決済承認率向上と不正リスク低減を実現。「すべての人々にデジタルエコノミーへのアクセスを」がビジョン。","Asia-focused fintech company founded in 2013. Provides online payment ""Omise"" with 50 payment methods and PCI-DSS compliant high security. In 2024, introduced AI-powered intelligent routing and generative dashboards to improve payment approval rates and reduce fraud risks. Vision: ""Digital economy access for everyone.""","https://www.opn.ooo/jp/careers/","500+","-1","TRUE","https://logo.clearbit.com/opn.ooo","https://www.opn.ooo/"
"Liquid","Liquid","生体認証・オンライン本人確認「LIQUID eKYC」でeKYC国内シェア6年連続No.1。2024年7月に累計本人確認件数5000万件を突破し月間200万件を処理。独自のAI・OCR技術で高精度な顔認証を実現。2024年には公的個人認証で個人番号も取得できる「JPKI+」機能を搭載。金融・通信キャリア・暗号資産など200社以上が導入。ELEMENTSグループの一員。","#1 domestic eKYC market share for 6 consecutive years with biometric authentication and online identity verification ""LIQUID eKYC."" Surpassed 50 million cumulative verifications in July 2024, processing 2 million monthly. Achieves high-precision facial recognition with proprietary AI/OCR technology. Added ""JPKI+"" feature enabling My Number acquisition via public personal authentication in 2024. Adopted by over 200 companies in finance, telecom carriers, and cryptocurrency. Part of ELEMENTS Group.","https://liquidinc.asia/recruit/","100+","-1","FALSE","https://logo.clearbit.com/liquidinc.asia","https://liquidinc.asia/"
"Preferred Networks","PFN","日本最大のAIユニコーン企業。深層学習基盤・ロボティクス・独自AI半導体「MN-Core」開発まで垂直統合。2024年にSBIから100億円の出資を受け次世代AI半導体の開発を加速。生成AI子会社Preferred Elementsも設立。AI外観検査ソフト等を製造・交通・小売・金融など多業界に提供。さくらインターネット・Rapidusと国産AIインフラ連携で合意。","Japan's largest AI unicorn company. Vertically integrated from deep learning infrastructure to robotics to proprietary AI semiconductor ""MN-Core"" development. Received 10 billion yen investment from SBI in 2024 to accelerate next-generation AI semiconductor development. Also established generative AI subsidiary Preferred Elements. Provides AI visual inspection software to multiple industries including manufacturing, transportation, retail, and finance. Agreed on domestic AI infrastructure collaboration with Sakura Internet and Rapidus.","https://www.preferred.jp/ja/careers/","300+","-1","TRUE","https://logo.clearbit.com/preferred.jp","https://www.preferred.jp/"
